trType,posX,posY,posZ,slopeXZ,slopeYZ
2,59836.6,83213.5,24525,0.0262,-0.3911
3,59509.4,87801.3,25822,-0.0285,0.4569
1,59822.2,85263.4,21950,0.0724,0.0663
2,59521.2,85082,20659,-0.259,-0.1165
2,59693.4,84742.8,20659,0.0547,-0.5642
2,59153.2,83884.5,23248,-0.1747,-0.3853
4,59659.1,84830.4,20659,0.047,-0.3903
6,59610,84616.9,20659,-0.2286,-0.5015
4,59358,84863.9,20659,-0.4171,-0.3894
4,59457.1,84883.7,20659,-0.2784,-0.4052
4,59259.9,85295.3,20659,-0.6705,0.1956
5,59219.6,85173.4,19379,0.6267,-0.0626
5,59667.4,84798.4,19379,-0.1238,0.5654
3,60224.4,85575.4,27115,0.087,0.0704
3,60246.9,86829.6,27115,0.0923,0.2337
